Tru,Turnover,ident
0.3,0.542320211,Sampled Ancestor Model
0.3,0.546135613,Sampled Ancestor Model
0.3,0.550290859,Sampled Ancestor Model
0.3,0.54630477,Sampled Ancestor Model
0.3,0.544013939,Sampled Ancestor Model
0.3,0.540032229,Sampled Ancestor Model
0.3,0.582256191,Sampled Ancestor Model
0.3,0.552012804,Sampled Ancestor Model
0.3,0.541452706,Sampled Ancestor Model
0.3,0.547821817,Sampled Ancestor Model
0.3,0.544002991,Sampled Ancestor Model
0.3,0.541243362,Sampled Ancestor Model
0.3,0.544378202,Sampled Ancestor Model
0.3,0.540595317,Sampled Ancestor Model
0.35,0.265686037,Sampled Ancestor Model
0.35,0.249408422,Sampled Ancestor Model
0.35,0.271639503,Sampled Ancestor Model
0.35,0.259539656,Sampled Ancestor Model
0.35,0.270776593,Sampled Ancestor Model
0.35,0.268497383,Sampled Ancestor Model
0.35,0.262336212,Sampled Ancestor Model
0.35,0.253706641,Sampled Ancestor Model
0.35,0.255370394,Sampled Ancestor Model
0.35,0.265656554,Sampled Ancestor Model
0.35,0.269941108,Sampled Ancestor Model
0.35,0.268769921,Sampled Ancestor Model
0.35,0.271952541,Sampled Ancestor Model
0.35,0.270102162,Sampled Ancestor Model
0.35,0.267976161,Sampled Ancestor Model
0.35,0.263511788,Sampled Ancestor Model
0.35,0.26194833,Sampled Ancestor Model
0.35,0.266545805,Sampled Ancestor Model
0.35,0.255759169,Sampled Ancestor Model
0.35,0.27068979,Sampled Ancestor Model
0.35,0.262871112,Sampled Ancestor Model
0.35,0.270512422,Sampled Ancestor Model
0.35,0.268761102,Sampled Ancestor Model
0.35,0.258115792,Sampled Ancestor Model
0.35,0.263364429,Sampled Ancestor Model
0.35,0.258965328,Sampled Ancestor Model
0.35,0.265859118,Sampled Ancestor Model
0.35,0.270261891,Sampled Ancestor Model
0.35,0.267319178,Sampled Ancestor Model
0.35,0.273636696,Sampled Ancestor Model
0.35,0.287590558,Sampled Ancestor Model
0.35,0.266264372,Sampled Ancestor Model
0.35,0.262295544,Sampled Ancestor Model
0.35,0.254631792,Sampled Ancestor Model
0.35,0.262457189,Sampled Ancestor Model
0.35,0.267809263,Sampled Ancestor Model
0.35,0.255544921,Sampled Ancestor Model
0.35,0.26588524,Sampled Ancestor Model
0.35,0.272995973,Sampled Ancestor Model
0.35,0.273312884,Sampled Ancestor Model
0.35,0.258620292,Sampled Ancestor Model
0.35,0.251479629,Sampled Ancestor Model
0.35,0.260641607,Sampled Ancestor Model
0.35,0.268223072,Sampled Ancestor Model
0.35,0.25677415,Sampled Ancestor Model
0.35,0.262318845,Sampled Ancestor Model
0.35,0.255090867,Sampled Ancestor Model
0.35,0.266380711,Sampled Ancestor Model
0.35,0.250876347,Sampled Ancestor Model
0.35,0.261771697,Sampled Ancestor Model
0.35,0.353523708,Sampled Ancestor Model
0.35,0.346651261,Sampled Ancestor Model
0.35,0.356018356,Sampled Ancestor Model
0.35,0.352164549,Sampled Ancestor Model
0.35,0.352711672,Sampled Ancestor Model
0.35,0.350659238,Sampled Ancestor Model
0.35,0.35458315,Sampled Ancestor Model
0.35,0.350815942,Sampled Ancestor Model
0.35,0.357640831,Sampled Ancestor Model
0.35,0.353749479,Sampled Ancestor Model
0.35,0.358020566,Sampled Ancestor Model
0.35,0.366042579,Sampled Ancestor Model
0.35,0.359249355,Sampled Ancestor Model
0.35,0.360969575,Sampled Ancestor Model
0.35,0.361859395,Sampled Ancestor Model
0.35,0.370290084,Sampled Ancestor Model
0.35,0.357094212,Sampled Ancestor Model
0.35,0.363552423,Sampled Ancestor Model
0.35,0.354183334,Sampled Ancestor Model
0.35,0.35664751,Sampled Ancestor Model
0.35,0.356262162,Sampled Ancestor Model
0.35,0.355539595,Sampled Ancestor Model
0.35,0.352704339,Sampled Ancestor Model
