Tru,Turnover,ident
0.45,0.57247513,Sampled Ancestor Model
0.45,0.56534885,Sampled Ancestor Model
0.45,0.555997062,Sampled Ancestor Model
0.45,0.551485943,Sampled Ancestor Model
0.45,0.572539543,Sampled Ancestor Model
0.45,0.577084983,Sampled Ancestor Model
0.45,0.556479057,Sampled Ancestor Model
0.45,0.558703609,Sampled Ancestor Model
0.45,0.558021902,Sampled Ancestor Model
0.45,0.568225131,Sampled Ancestor Model
0.45,0.549381032,Sampled Ancestor Model
0.45,0.564511873,Sampled Ancestor Model
0.5,0.518281792,Sampled Ancestor Model
0.5,0.51086379,Sampled Ancestor Model
0.5,0.509261634,Sampled Ancestor Model
0.5,0.511267393,Sampled Ancestor Model
0.5,0.521938912,Sampled Ancestor Model
0.5,0.51061526,Sampled Ancestor Model
0.5,0.516406988,Sampled Ancestor Model
0.5,0.51541438,Sampled Ancestor Model
0.5,0.513902703,Sampled Ancestor Model
0.5,0.513335907,Sampled Ancestor Model
0.5,0.515766211,Sampled Ancestor Model
0.5,0.509182077,Sampled Ancestor Model
0.5,0.524030553,Sampled Ancestor Model
0.5,0.511422705,Sampled Ancestor Model
0.5,0.505634832,Sampled Ancestor Model
0.5,0.510149525,Sampled Ancestor Model
0.5,0.510283188,Sampled Ancestor Model
0.5,0.51584562,Sampled Ancestor Model
0.5,0.509416345,Sampled Ancestor Model
0.5,0.505979685,Sampled Ancestor Model
0.5,0.509849786,Sampled Ancestor Model
0.5,0.52356759,Sampled Ancestor Model
0.5,0.519859318,Sampled Ancestor Model
0.5,0.517222628,Sampled Ancestor Model
0.5,0.505000656,Sampled Ancestor Model
0.5,0.519024277,Sampled Ancestor Model
0.5,0.506310662,Sampled Ancestor Model
0.5,0.515130429,Sampled Ancestor Model
0.5,0.511328677,Sampled Ancestor Model
0.5,0.498700733,Sampled Ancestor Model
0.5,0.513916459,Sampled Ancestor Model
0.5,0.521927258,Sampled Ancestor Model
0.5,0.515355757,Sampled Ancestor Model
0.5,0.517748518,Sampled Ancestor Model
0.5,0.519672945,Sampled Ancestor Model
0.5,0.512988638,Sampled Ancestor Model
