,Ind,Tru,No Sampled Ancestors Turnover,ident
34,0,5.773,10.8074366324,Non Sampled Ancestor Model
35,0,5.773,13.192554838,Non Sampled Ancestor Model
36,0,5.773,13.651887243,Non Sampled Ancestor Model
37,0,5.773,7.81991507073,Non Sampled Ancestor Model
38,0,5.773,13.5557618429,Non Sampled Ancestor Model
39,0,5.773,12.7812596431,Non Sampled Ancestor Model
40,0,5.773,12.8413454436,Non Sampled Ancestor Model
41,0,5.773,7.8955392274,Non Sampled Ancestor Model
42,0,5.773,9.4243097308,Non Sampled Ancestor Model
43,0,5.773,12.481562959,Non Sampled Ancestor Model
44,0,5.773,13.1828659227,Non Sampled Ancestor Model
45,0,5.773,15.1833260899,Non Sampled Ancestor Model
46,0,5.773,14.2005456084,Non Sampled Ancestor Model
47,0,5.773,13.3063768911,Non Sampled Ancestor Model
48,0,5.773,14.2172173688,Non Sampled Ancestor Model
49,0,5.773,12.717751585,Non Sampled Ancestor Model
0,0,10.34,10.9282878423,Non Sampled Ancestor Model
1,0,10.34,15.7136233234,Non Sampled Ancestor Model
2,0,10.34,14.9517029444,Non Sampled Ancestor Model
3,0,10.34,11.4548214174,Non Sampled Ancestor Model
4,0,10.34,18.1002305108,Non Sampled Ancestor Model
5,0,10.34,14.7562379445,Non Sampled Ancestor Model
6,0,10.34,15.7967669457,Non Sampled Ancestor Model
7,0,10.34,16.0260215186,Non Sampled Ancestor Model
8,0,10.34,15.3241685671,Non Sampled Ancestor Model
9,0,10.34,11.2504695576,Non Sampled Ancestor Model
10,0,10.34,14.2758206149,Non Sampled Ancestor Model
11,0,10.34,10.809300311,Non Sampled Ancestor Model
12,0,10.34,13.3399029664,Non Sampled Ancestor Model
13,0,10.34,12.2624267938,Non Sampled Ancestor Model
14,0,10.34,14.4341649609,Non Sampled Ancestor Model
15,0,10.34,14.9182571926,Non Sampled Ancestor Model
16,0,10.34,16.8221561367,Non Sampled Ancestor Model
17,0,10.34,10.7147858779,Non Sampled Ancestor Model
18,0,10.34,14.0152191481,Non Sampled Ancestor Model
19,0,10.34,15.8918890824,Non Sampled Ancestor Model
20,0,10.34,12.2377537967,Non Sampled Ancestor Model
21,0,10.34,14.8326365611,Non Sampled Ancestor Model
22,0,10.34,17.217082616,Non Sampled Ancestor Model
23,0,10.34,13.486830875,Non Sampled Ancestor Model
24,0,10.34,15.8253410552,Non Sampled Ancestor Model
25,0,10.34,11.2489179591,Non Sampled Ancestor Model
26,0,10.34,14.8018909289,Non Sampled Ancestor Model
27,0,10.34,11.1943285851,Non Sampled Ancestor Model
28,0,10.34,10.7037354385,Non Sampled Ancestor Model
29,0,10.34,11.1616061593,Non Sampled Ancestor Model
30,0,10.34,16.0779659524,Non Sampled Ancestor Model
31,0,10.34,13.4497750166,Non Sampled Ancestor Model
32,0,10.34,15.679809642,Non Sampled Ancestor Model
33,0,10.34,12.3737757014,Non Sampled Ancestor Model
34,0,10.34,14.6576788444,Non Sampled Ancestor Model
35,0,10.34,13.5116897369,Non Sampled Ancestor Model
36,0,10.34,12.9091312365,Non Sampled Ancestor Model
37,0,10.34,15.3917571935,Non Sampled Ancestor Model
38,0,10.34,14.0548249377,Non Sampled Ancestor Model
39,0,10.34,16.4963369567,Non Sampled Ancestor Model
40,0,10.34,14.2508715796,Non Sampled Ancestor Model
41,0,10.34,14.7353282948,Non Sampled Ancestor Model
